"PR"	"URL"	"Title"	"Content type"	"Is rendered page"	"HTTP status code"	"Organic traffic"	"Linked images"	"Linked images codes"
"70"	"https://cindemirlaw.com/"	"Law Firms in Istanbul - Cindemir Law Office"	"text/html; charset=utf-8"	"false"	"200"	"0"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png
https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png
https://cindemirlaw.com/wp-content/uploads/2020/06/cropped-logoicon-1-1-300x300.jpg
https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png
https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png
https://www.aeuropea.com/wp-content/uploads/2025/09/aea-01v001-ILN-small.png
https://www.istanbulbarosu.org.tr/_next/image?url=%2Fimages%2Fbaro_logo.png&w=128&q=75"	"200
200
200
200
403
301"
"57"	"https://cindemirlaw.com/services/"	"Legal Services in Turkey - Cindemir Law Office"	"text/html; charset=utf-8"	"false"	"200"	"0"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png
https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png
https://cindemirlaw.com/wp-content/uploads/2020/06/cropped-logoicon-1-1-300x300.jpg
https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png
https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png
https://www.aeuropea.com/wp-content/uploads/2025/09/aea-01v001-ILN-small.png
https://www.istanbulbarosu.org.tr/_next/image?url=%2Fimages%2Fbaro_logo.png&w=128&q=75"	"200
200
200
200
403
301"
"57"	"https://cindemirlaw.com/about-us/"	"Quality and Professional Legal Services - Cindemir Law Office"	"text/html; charset=utf-8"	"false"	"200"	"0"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png
https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png
https://cindemirlaw.com/wp-content/uploads/2020/06/5295681199059.jpg
https://cindemirlaw.com/wp-content/uploads/2020/06/cropped-logoicon-1-1-300x300.jpg
https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png
https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png
https://www.aeuropea.com/wp-content/uploads/2025/09/aea-01v001-ILN-small.png
https://www.istanbulbarosu.org.tr/_next/image?url=%2Fimages%2Fbaro_logo.png&w=128&q=75"	"200
200
200
200
200
403
301"
"57"	"https://cindemirlaw.com/team/"	"Meet Our Team Of Attorneys In Istanbul - Cindemir Law Office"	"text/html; charset=utf-8"	"false"	"200"	"0"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png
https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png
https://cindemirlaw.com/wp-content/uploads/2014/11/Gokhan_Cindemir_AttorneyAtLaw2-240x300.jpg
https://cindemirlaw.com/wp-content/uploads/2014/11/portrait-5-copy-240x300.jpg
https://cindemirlaw.com/wp-content/uploads/2020/06/cropped-logoicon-1-1-300x300.jpg
https://cindemirlaw.com/wp-content/uploads/2020/08/IMG_0860-kopya-180x180.jpg
https://cindemirlaw.com/wp-content/uploads/2020/08/IMG_0876-kopya-741x1024-1-180x180.jpg
https://cindemirlaw.com/wp-content/uploads/2020/08/IMG_0877-kopya-741x1024-1-180x180.jpg
https://cindemirlaw.com/wp-content/uploads/2020/10/portrait-3-copy-240x300.jpg
https://cindemirlaw.com/wp-content/uploads/2025/09/levant-180x180.webp
https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png
https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png
https://www.aeuropea.com/wp-content/uploads/2025/09/aea-01v001-ILN-small.png
https://www.istanbulbarosu.org.tr/_next/image?url=%2Fimages%2Fbaro_logo.png&w=128&q=75"	"200
200
200
200
200
200
200
200
200
200
200
403
301"
"57"	"https://cindemirlaw.com/articles/"	"Legal Articles about Turkish Law - Cindemir Law Office"	"text/html; charset=utf-8"	"false"	"200"	"0"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png
https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png
https://cindemirlaw.com/wp-content/uploads/2020/06/cropped-logoicon-1-1-300x300.jpg
https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png
https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png
https://www.aeuropea.com/wp-content/uploads/2025/09/aea-01v001-ILN-small.png
https://www.istanbulbarosu.org.tr/_next/image?url=%2Fimages%2Fbaro_logo.png&w=128&q=75"	"200
200
200
200
403
301"
"57"	"https://cindemirlaw.com/contacts/"	"Contact Legal Lawyers in Istanbul | Cindemir Law Office"	"text/html; charset=utf-8"	"false"	"200"	"0"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png
https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png
https://cindemirlaw.com/wp-content/uploads/2020/06/cropped-logoicon-1-1-300x300.jpg
https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png
https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png
https://www.aeuropea.com/wp-content/uploads/2025/09/aea-01v001-ILN-small.png
https://www.istanbulbarosu.org.tr/_next/image?url=%2Fimages%2Fbaro_logo.png&w=128&q=75"	"200
200
200
200
403
301"
"55"	"https://cindemirlaw.com/who-is-hafiz-huseyin-husnu-efendi/"	"Who is Hafız Hüseyin Hüsnü Efendi? - Cindemir Law Office"	"text/html; charset=utf-8"	"false"	"200"	"0"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png
https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png
https://cindemirlaw.com/wp-content/uploads/2020/06/cropped-logoicon-1-1-300x300.jpg
https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png
https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png
https://www.aeuropea.com/wp-content/uploads/2025/09/aea-01v001-ILN-small.png
https://www.istanbulbarosu.org.tr/_next/image?url=%2Fimages%2Fbaro_logo.png&w=128&q=75"	"200
200
200
200
403
301"
"55"	"https://cindemirlaw.com/family-heritage/"	"Family Heritage - Cindemir Law Office"	"text/html; charset=utf-8"	"false"	"200"	"0"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png
https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png
https://cindemirlaw.com/wp-content/uploads/2020/06/cropped-logoicon-1-1-300x300.jpg
https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png
https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png
https://www.aeuropea.com/wp-content/uploads/2025/09/aea-01v001-ILN-small.png
https://www.istanbulbarosu.org.tr/_next/image?url=%2Fimages%2Fbaro_logo.png&w=128&q=75"	"200
200
200
200
403
301"
"53"	"https://cindemirlaw.com/turkish-lawyer-online-consultancy/"	"Turkish Lawyer Online Consultancy | Cindemir Law Office"	"text/html; charset=utf-8"	"false"	"200"	"0"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png
https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png
https://cindemirlaw.com/wp-content/uploads/2020/06/cropped-logoicon-1-1-300x300.jpg
https://cindemirlaw.com/wp-content/uploads/2020/10/540664430-300x200.jpg
https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png
https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png
https://www.aeuropea.com/wp-content/uploads/2025/09/aea-01v001-ILN-small.png
https://www.istanbulbarosu.org.tr/_next/image?url=%2Fimages%2Fbaro_logo.png&w=128&q=75"	"200
200
200
200
200
403
301"
"53"	"https://cindemirlaw.com/basic-principles-of-turkish-labor-law/"	"Basic Principles of Turkish Labor Law | Cindemir Law Office"	"text/html; charset=utf-8"	"false"	"200"	"0"	"https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/en.png
https://cindemirlaw.com/wp-content/plugins/sitepress-multilingual-cms/res/flags/ru.png
https://cindemirlaw.com/wp-content/uploads/2020/06/cropped-logoicon-1-1-300x300.jpg
https://cindemirlaw.com/wp-content/uploads/2020/06/white-1-copy-150x150-1.jpg
https://cindemirlaw.com/wp-content/uploads/flags/china-flag-xs.png
https://d.barobirlik.org.tr/amblem/tbb_amblem_60.png
https://www.aeuropea.com/wp-content/uploads/2025/09/aea-01v001-ILN-small.png
https://www.istanbulbarosu.org.tr/_next/image?url=%2Fimages%2Fbaro_logo.png&w=128&q=75"	"200
200
200
200
200
403
301"
